TARA	COMUNA	ORAS	JUDET	CONCATENATE	UID
ROMANIA	Curmatura	Lupsa	Alba	Curmatura din Lupsa (Alba)	3278
ROMANIA	Curpeni	Ceru - Bacainti	Alba	Curpeni din Ceru - Bacainti (Alba)	3283
ROMANIA	Cut	Calnic	Alba	Cut din Calnic (Alba)	3305
ROMANIA	Daia Romana	Daia Romana	Alba	Daia Romana (Alba)	3341
ROMANIA	Dandut	Campeni	Alba	Dandut din Campeni (Alba)	3377
ROMANIA	Darlesti	Horea	Alba	Darlesti din Horea (Alba)	3402
ROMANIA	Daroaia	Rosia Montana	Alba	Daroaia din Rosia Montana (Alba)	3411
ROMANIA	Deal	Calnic	Alba	Deal din Calnic (Alba)	3430
ROMANIA	Dealu Bistrii	Campeni	Alba	Dealu Bistrii din Campeni (Alba)	3436
ROMANIA	Dealu Capsei	Campeni	Alba	Dealu Capsei din Campeni (Alba)	3439
ROMANIA	Dealu Caselor	Salciua	Alba	Dealu Caselor din Salciua (Alba)	3440
ROMANIA	Dealu Crisului	Avram Iancu	Alba	Dealu Crisului din Avram Iancu (Alba)	3443
ROMANIA	Dealu Dostatului	Dostat	Alba	Dealu Dostatului din Dostat (Alba)	3447
ROMANIA	Dealu Ferului	Vintu De Jos	Alba	Dealu Ferului din Vintu De Jos (Alba)	3448
ROMANIA	Dealu Frumos	Garda De Sus	Alba	Dealu Frumos din Garda De Sus (Alba)	3450
ROMANIA	Dealu Frumos	Vadu Motilor	Alba	Dealu Frumos din Vadu Motilor (Alba)	3454
ROMANIA	Dealu Geoagiului	Intregalde	Alba	Dealu Geoagiului din Intregalde (Alba)	3455
ROMANIA	Dealu Goiesti	Vidra	Alba	Dealu Goiesti din Vidra (Alba)	3457
ROMANIA	Dealu Lamasoi	Albac	Alba	Dealu Lamasoi din Albac (Alba)	3458
ROMANIA	Dealu Muntelui	Bistra	Alba	Dealu Muntelui din Bistra (Alba)	3471
ROMANIA	Dealu Ordancusii	Garda De Sus	Alba	Dealu Ordancusii din Garda De Sus (Alba)	3474
ROMANIA	Dealu Roatei	Zlatna	Alba	Dealu Roatei din Zlatna (Alba)	3477
ROMANIA	Decea	Miraslau	Alba	Decea din Miraslau (Alba)	3491
ROMANIA	Deleni-Obarsie	Blaj	Alba	Deleni-Obarsie din Blaj (Alba)	3529
ROMANIA	Deve	Albac	Alba	Deve din Albac (Alba)	3555
ROMANIA	Dilimani	Sohodol	Alba	Dilimani din Sohodol (Alba)	3577
ROMANIA	Dobresti	Garda De Sus	Alba	Dobresti din Garda De Sus (Alba)	3626
