TARA	COMUNA	ORAS	JUDET	CONCATENATE	UID
ROMANIA	Diosti	Diosti	Dolj	Diosti (Dolj)	3591
ROMANIA	Dobresti	Dobresti	Dolj	Dobresti (Dolj)	3625
ROMANIA	Dobridor	Motatei	Dolj	Dobridor din Motatei (Dolj)	3633
ROMANIA	Dobromira	Varvoru De Jos	Dolj	Dobromira din Varvoru De Jos (Dolj)	3642
ROMANIA	Dobrotesti	Amarastii De Sus	Dolj	Dobrotesti din Amarastii De Sus (Dolj)	3649
ROMANIA	Domnu Tudor	Izvoare	Dolj	Domnu Tudor din Izvoare (Dolj)	3689
ROMANIA	Dragoaia	Varvoru De Jos	Dolj	Dragoaia din Varvoru De Jos (Dolj)	3762
ROMANIA	Dragotesti	Dragotesti	Dolj	Dragotesti (Dolj)	3786
ROMANIA	Dranic	Dranic	Dolj	Dranic (Dolj)	3805
ROMANIA	Dudovicesti	Simnicu De Sus	Dolj	Dudovicesti din Simnicu De Sus (Dolj)	3842
ROMANIA	Dutulesti	Simnicu De Sus	Dolj	Dutulesti din Simnicu De Sus (Dolj)	3940
ROMANIA	Facai	Craiova	Dolj	Facai din Craiova (Dolj)	3974
ROMANIA	Faget	Breasta	Dolj	Faget din Breasta (Dolj)	3983
ROMANIA	Fantanele	Radovan	Dolj	Fantanele din Radovan (Dolj)	4044
ROMANIA	Fantanele	Teslui	Dolj	Fantanele din Teslui (Dolj)	4049
ROMANIA	Fantani	Goiesti	Dolj	Fantani din Goiesti (Dolj)	4051
ROMANIA	Farcas	Farcas	Dolj	Farcas (Dolj)	4061
ROMANIA	Filaret	Giurgita	Dolj	Filaret din Giurgita (Dolj)	4143
ROMANIA	Filiasi	Filiasi	Dolj	Filiasi (Dolj)	4152
ROMANIA	Floresti	Simnicu De Sus	Dolj	Floresti din Simnicu De Sus (Dolj)	4206
ROMANIA	Foisor	Dranic	Dolj	Foisor din Dranic (Dolj)	4230
ROMANIA	Fratostita	Filiasi	Dolj	Fratostita din Filiasi (Dolj)	4277
ROMANIA	Gabru	Varvoru De Jos	Dolj	Gabru din Varvoru De Jos (Dolj)	4344
ROMANIA	Gaia	Murgasi	Dolj	Gaia din Murgasi (Dolj)	4354
ROMANIA	Galicea Mare	Galicea Mare	Dolj	Galicea Mare (Dolj)	4397
ROMANIA	Galiciuica	Giubega	Dolj	Galiciuica din Giubega (Dolj)	4398
ROMANIA	Gangiova	Gingiova	Dolj	Gangiova din Gingiova (Dolj)	4420
ROMANIA	Garlesti	Ghercesti	Dolj	Garlesti din Ghercesti (Dolj)	4467
ROMANIA	Geblesti	Carpen	Dolj	Geblesti din Carpen (Dolj)	4499
ROMANIA	Georocel	Dobresti	Dolj	Georocel din Dobresti (Dolj)	4518
ROMANIA	Georocu Mare	Bratovoesti	Dolj	Georocu Mare din Bratovoesti (Dolj)	4519
ROMANIA	Ghercesti	Ghercesti	Dolj	Ghercesti (Dolj)	4546
ROMANIA	Ghidici	Piscu Vechi	Dolj	Ghidici din Piscu Vechi (Dolj)	4568
ROMANIA	Ghindeni	Malu Mare	Dolj	Ghindeni din Malu Mare (Dolj)	4591
ROMANIA	Ghizdavesti	Celaru	Dolj	Ghizdavesti din Celaru (Dolj)	4617
ROMANIA	Gighera	Gighera	Dolj	Gighera (Dolj)	4623
ROMANIA	Giubega	Giubega	Dolj	Giubega (Dolj)	4634
ROMANIA	Giurgita	Giurgita	Dolj	Giurgita (Dolj)	4658
ROMANIA	Godeni	Melinesti	Dolj	Godeni din Melinesti (Dolj)	4711
ROMANIA	Gogosesti	Mischii	Dolj	Gogosesti din Mischii (Dolj)	4719
ROMANIA	Gogosita	Gogosu	Dolj	Gogosita din Gogosu (Dolj)	4720
ROMANIA	Gogosu	Gogosu	Dolj	Gogosu (Dolj)	4721
ROMANIA	Goicea	Goicea	Dolj	Goicea (Dolj)	4724
ROMANIA	Goiesti	Goiesti	Dolj	Goiesti (Dolj)	4727
ROMANIA	Golenti	Calafat	Dolj	Golenti din Calafat (Dolj)	4732
ROMANIA	Golfin	Robanesti	Dolj	Golfin din Robanesti (Dolj)	4737
ROMANIA	Golumbu	Farcas	Dolj	Golumbu din Farcas (Dolj)	4741
ROMANIA	Gradistea	Grecesti	Dolj	Gradistea din Grecesti (Dolj)	4799
ROMANIA	Grecesti	Grecesti	Dolj	Grecesti (Dolj)	4816
ROMANIA	Gropanele	Grecesti	Dolj	Gropanele din Grecesti (Dolj)	4847
ROMANIA	Gruita	Goiesti	Dolj	Gruita din Goiesti (Dolj)	4878
ROMANIA	Gubaucea	Vela	Dolj	Gubaucea din Vela (Dolj)	4891
ROMANIA	Gura Racului	Bulzesti	Dolj	Gura Racului din Bulzesti (Dolj)	4930
ROMANIA	Gura Vaii	Podari	Dolj	Gura Vaii din Podari (Dolj)	4948
ROMANIA	Horezu Poenari	Valea Stanciului	Dolj	Horezu Poenari din Valea Stanciului (Dolj)	5179
ROMANIA	Hunia	Maglavit	Dolj	Hunia din Maglavit (Dolj)	5236
ROMANIA	Iordachesti	Argetoaia	Dolj	Iordachesti din Argetoaia (Dolj)	5436
ROMANIA	Isalnita	Isalnita	Dolj	Isalnita (Dolj)	5455
ROMANIA	Italieni	Bucovat	Dolj	Italieni din Bucovat (Dolj)	5469
ROMANIA	Izvoare	Izvoare	Dolj	Izvoare (Dolj)	5505
ROMANIA	Înfratirea	Bulzesti	Dolj	Înfratirea din Bulzesti (Dolj)	5554
ROMANIA	Întorsura	Radovan	Dolj	Întorsura din Radovan (Dolj)	5558
ROMANIA	Jieni	Simnicu De Sus	Dolj	Jieni din Simnicu De Sus (Dolj)	5593
ROMANIA	Jiul	Tuglui	Dolj	Jiul din Tuglui (Dolj)	5613
ROMANIA	Lacrita Mare	Robanesti	Dolj	Lacrita Mare din Robanesti (Dolj)	5652
ROMANIA	Lacrita Mica	Robanesti	Dolj	Lacrita Mica din Robanesti (Dolj)	5653
ROMANIA	Langa	Pielesti	Dolj	Langa din Pielesti (Dolj)	5677
ROMANIA	Lazu	Terpezita	Dolj	Lazu din Terpezita (Dolj)	5732
ROMANIA	Leamna de Jos	Bucovat	Dolj	Leamna de Jos din Bucovat (Dolj)	5743
ROMANIA	Leamna de Sus	Bucovat	Dolj	Leamna de Sus din Bucovat (Dolj)	5744
ROMANIA	Leordoasa	Argetoaia	Dolj	Leordoasa din Argetoaia (Dolj)	5777
ROMANIA	Lesile	Simnicu De Sus	Dolj	Lesile din Simnicu De Sus (Dolj)	5789
ROMANIA	Leu	Leu	Dolj	Leu (Dolj)	5805
ROMANIA	Lipovu	Lipovu	Dolj	Lipovu (Dolj)	5848
ROMANIA	Lipovu de Sus	Lipovu	Dolj	Lipovu de Sus din Lipovu (Dolj)	5849
ROMANIA	Listeava	Ostroveni	Dolj	Listeava din Ostroveni (Dolj)	5858
ROMANIA	Livezi	Podari	Dolj	Livezi din Podari (Dolj)	5886
ROMANIA	Locusteni	Daneti	Dolj	Locusteni din Daneti (Dolj)	5895
ROMANIA	Macesu de Sus	Macesu De Sus	Dolj	Macesu de Sus (Dolj)	6090
ROMANIA	Maglavit	Maglavit	Dolj	Maglavit (Dolj)	6131
ROMANIA	Malaesti	Goiesti	Dolj	Malaesti din Goiesti (Dolj)	6189
ROMANIA	Malaica	Cerat	Dolj	Malaica din Cerat (Dolj)	6192
ROMANIA	Malu Mare	Malu Mare	Dolj	Malu Mare (Dolj)	6222
ROMANIA	Malumnic	Argetoaia	Dolj	Malumnic din Argetoaia (Dolj)	6230
ROMANIA	Maracinele	Perisor	Dolj	Maracinele din Perisor (Dolj)	6309
ROMANIA	Marotinu de Jos	Celaru	Dolj	Marotinu de Jos din Celaru (Dolj)	6374
ROMANIA	Marotinu de Sus	Celaru	Dolj	Marotinu de Sus din Celaru (Dolj)	6375
ROMANIA	Marsani	Marsani	Dolj	Marsani (Dolj)	6378
ROMANIA	Marza	Salcuta	Dolj	Marza din Salcuta (Dolj)	6400
ROMANIA	Melinesti	Melinesti	Dolj	Melinesti (Dolj)	6451
ROMANIA	Meteu	Bradesti	Dolj	Meteu din Bradesti (Dolj)	6498
ROMANIA	Mihaita	Cotofenii Din Dos	Dolj	Mihaita din Cotofenii Din Dos (Dolj)	6571
ROMANIA	Milesti	Simnicu De Sus	Dolj	Milesti din Simnicu De Sus (Dolj)	6595
ROMANIA	Milovan	Predesti	Dolj	Milovan din Predesti (Dolj)	6604
ROMANIA	Mischii	Mischii	Dolj	Mischii (Dolj)	6654
ROMANIA	Mlecanesti	Mischii	Dolj	Mlecanesti din Mischii (Dolj)	6676
ROMANIA	Mofleni	Craiova	Dolj	Mofleni din Craiova (Dolj)	6704
ROMANIA	Moflesti	Farcas	Dolj	Moflesti din Farcas (Dolj)	6705
ROMANIA	Moreni	Cetate	Dolj	Moreni din Cetate (Dolj)	6758
ROMANIA	Mosna	Brabova	Dolj	Mosna din Brabova (Dolj)	6773
ROMANIA	Mosneni	Almaj	Dolj	Mosneni din Almaj (Dolj)	6777
ROMANIA	Motatei	Motatei	Dolj	Motatei (Dolj)	6790
ROMANIA	Motatei Gara	Motatei	Dolj	Motatei Gara din Motatei (Dolj)	6791
ROMANIA	Muereni	Goiesti	Dolj	Muereni din Goiesti (Dolj)	6835
ROMANIA	Muierusu	Melinesti	Dolj	Muierusu din Melinesti (Dolj)	6838
ROMANIA	Murgasi	Murgasi	Dolj	Murgasi (Dolj)	6871
ROMANIA	Nedeia	Gighera	Dolj	Nedeia din Gighera (Dolj)	6957
ROMANIA	Negoi	Negoi	Dolj	Negoi (Dolj)	6966
ROMANIA	Negoiesti	Melinesti	Dolj	Negoiesti din Melinesti (Dolj)	6968
ROMANIA	Nisipuri	Amarastii De Sus	Dolj	Nisipuri din Amarastii De Sus (Dolj)	7075
ROMANIA	Nistoi	Farcas	Dolj	Nistoi din Farcas (Dolj)	7077
ROMANIA	Novac	Argetoaia	Dolj	Novac din Argetoaia (Dolj)	7097
ROMANIA	Obedin	Breasta	Dolj	Obedin din Breasta (Dolj)	7139
ROMANIA	Ocolna	Amarastii De Jos	Dolj	Ocolna din Amarastii De Jos (Dolj)	7176
ROMANIA	Odoleni	Melinesti	Dolj	Odoleni din Melinesti (Dolj)	7191
ROMANIA	Ohaba	Melinesti	Dolj	Ohaba din Melinesti (Dolj)	7210
ROMANIA	Orodel	Orodel	Dolj	Orodel (Dolj)	7322
ROMANIA	Ostroveni	Ostroveni	Dolj	Ostroveni (Dolj)	7361
ROMANIA	Padea	Dranic	Dolj	Padea din Dranic (Dolj)	7392
ROMANIA	Palilula	Bucovat	Dolj	Palilula din Bucovat (Dolj)	7454
ROMANIA	Panaghia	Calopar	Dolj	Panaghia din Calopar (Dolj)	7478
ROMANIA	Pereni	Sopot	Dolj	Pereni din Sopot (Dolj)	7625
ROMANIA	Perisor	Perisor	Dolj	Perisor (Dolj)	7641
ROMANIA	Picaturile	Murgasi	Dolj	Picaturile din Murgasi (Dolj)	7753
ROMANIA	Pielesti	Pielesti	Dolj	Pielesti (Dolj)	7758
ROMANIA	Pietroaia	Sopot	Dolj	Pietroaia din Sopot (Dolj)	7776
ROMANIA	Pioresti	Goiesti	Dolj	Pioresti din Goiesti (Dolj)	7801
ROMANIA	Piria	Argetoaia	Dolj	Piria din Argetoaia (Dolj)	7806
ROMANIA	Piscani	Bradesti	Dolj	Piscani din Bradesti (Dolj)	7810
ROMANIA	Piscu Lung	Bulzesti	Dolj	Piscu Lung din Bulzesti (Dolj)	7820
ROMANIA	Piscu Nou	Seaca De Camp	Dolj	Piscu Nou din Seaca De Camp (Dolj)	7822
ROMANIA	Piscu Sadovei	Sadova	Dolj	Piscu Sadovei din Sadova (Dolj)	7827
ROMANIA	Piscu Vechi	Piscu Vechi	Dolj	Piscu Vechi (Dolj)	7829
ROMANIA	Pisculet	Piscu Vechi	Dolj	Pisculet din Piscu Vechi (Dolj)	7831
ROMANIA	Plesoi	Predesti	Dolj	Plesoi din Predesti (Dolj)	7894
ROMANIA	Plopsor	Salcuta	Dolj	Plopsor din Salcuta (Dolj)	7921
ROMANIA	Plopu Amarasti	Farcas	Dolj	Plopu Amarasti din Farcas (Dolj)	7924
ROMANIA	Plosca	Bistret	Dolj	Plosca din Bistret (Dolj)	7933
ROMANIA	Plostina	Melinesti	Dolj	Plostina din Melinesti (Dolj)	7937
ROMANIA	Podari	Podari	Dolj	Podari (Dolj)	7960
ROMANIA	Poiana Fantanii	Argetoaia	Dolj	Poiana Fantanii din Argetoaia (Dolj)	8079
ROMANIA	Poiana Mare	Poiana Mare	Dolj	Poiana Mare (Dolj)	8091
ROMANIA	Pometesti	Goiesti	Dolj	Pometesti din Goiesti (Dolj)	8183
ROMANIA	Popanzalesti	Dragotesti	Dolj	Popanzalesti din Dragotesti (Dolj)	8192
ROMANIA	Popeasa	Goiesti	Dolj	Popeasa din Goiesti (Dolj)	8193
ROMANIA	Popesti	Melinesti	Dolj	Popesti din Melinesti (Dolj)	8214
ROMANIA	Potmeltu	Cotofenii Din Dos	Dolj	Potmeltu din Cotofenii Din Dos (Dolj)	8287
ROMANIA	Prapor	Amarastii De Jos	Dolj	Prapor din Amarastii De Jos (Dolj)	8303
ROMANIA	Preajba de Jos	Teslui	Dolj	Preajba de Jos din Teslui (Dolj)	8306
ROMANIA	Preajba de Padure	Teslui	Dolj	Preajba de Padure din Teslui (Dolj)	8307
ROMANIA	Preajba	Malu Mare	Dolj	Preajba din Malu Mare (Dolj)	8308
ROMANIA	Predesti	Predesti	Dolj	Predesti (Dolj)	8317
ROMANIA	Predestii Mici	Predesti	Dolj	Predestii Mici din Predesti (Dolj)	8319
ROMANIA	Prejoi	Bulzesti	Dolj	Prejoi din Bulzesti (Dolj)	8322
ROMANIA	Prunet	Bratovoesti	Dolj	Prunet din Bratovoesti (Dolj)	8413
ROMANIA	Puturi	Castranova	Dolj	Puturi din Castranova (Dolj)	8467
ROMANIA	Rachita de Jos	Brabova	Dolj	Rachita de Jos din Brabova (Dolj)	8479
ROMANIA	Rachita de Sus	Seaca De Padure	Dolj	Rachita de Sus din Seaca De Padure (Dolj)	8480
ROMANIA	Racovita	Bralostita	Dolj	Racovita din Bralostita (Dolj)	8507
ROMANIA	Radovan	Radovan	Dolj	Radovan (Dolj)	8548
ROMANIA	Rasnicu Batran	Cernatesti	Dolj	Rasnicu Batran din Cernatesti (Dolj)	8624
ROMANIA	Rasnicu Oghian	Cernatesti	Dolj	Rasnicu Oghian din Cernatesti (Dolj)	8625
ROMANIA	Rast	Rast	Dolj	Rast (Dolj)	8631
ROMANIA	Robanestii de Sus	Robanesti	Dolj	Robanestii de Sus din Robanesti (Dolj)	8763
ROMANIA	Rojiste	Bratovoesti	Dolj	Rojiste din Bratovoesti (Dolj)	8793
ROMANIA	Romanesti	Simnicu De Sus	Dolj	Romanesti din Simnicu De Sus (Dolj)	8810
ROMANIA	Rovine	Craiova	Dolj	Rovine din Craiova (Dolj)	8879
ROMANIA	Rupturile	Murgasi	Dolj	Rupturile din Murgasi (Dolj)	8938
ROMANIA	Sadova	Sadova	Dolj	Sadova (Dolj)	9011
ROMANIA	Salcia	Argetoaia	Dolj	Salcia din Argetoaia (Dolj)	9050
ROMANIA	Salcuta	Calopar	Dolj	Salcuta din Calopar (Dolj)	9071
ROMANIA	Salcuta	Salcuta	Dolj	Salcuta (Dolj)	9072
ROMANIA	Saliste	Bulzesti	Dolj	Saliste din Bulzesti (Dolj)	9085
ROMANIA	Sapata	Macesu De Jos	Dolj	Sapata din Macesu De Jos (Dolj)	9212
ROMANIA	Sarata	Calarasi	Dolj	Sarata din Calarasi (Dolj)	9223
ROMANIA	Sarbatoarea	Bucovat	Dolj	Sarbatoarea din Bucovat (Dolj)	9241
ROMANIA	Sarsca	Sopot	Dolj	Sarsca din Sopot (Dolj)	9280
ROMANIA	Scaesti	Scaesti	Dolj	Scaesti (Dolj)	9399
ROMANIA	Seaca de Camp	Seaca De Camp	Dolj	Seaca de Camp (Dolj)	9482
ROMANIA	Seaca de Padure	Seaca De Padure	Dolj	Seaca de Padure (Dolj)	9483
ROMANIA	Secu	Secu	Dolj	Secu (Dolj)	9513
ROMANIA	Seculesti	Bulzesti	Dolj	Seculesti din Bulzesti (Dolj)	9520
ROMANIA	Segarcea	Segarcea	Dolj	Segarcea (Dolj)	9525
ROMANIA	Seglet	Vela	Dolj	Seglet din Vela (Dolj)	9528
ROMANIA	Sfarcea	Bralostita	Dolj	Sfarcea din Bralostita (Dolj)	9599
ROMANIA	Silistea Crucii	Silistea Crucii	Dolj	Silistea Crucii (Dolj)	9643
ROMANIA	Simnicu de Jos	Craiova	Dolj	Simnicu de Jos din Craiova (Dolj)	9685
ROMANIA	Simnicu de Sus	Simnicu De Sus	Dolj	Simnicu de Sus (Dolj)	9686
ROMANIA	Sitoaia	Almaj	Dolj	Sitoaia din Almaj (Dolj)	9748
ROMANIA	Smadovicioara de Secu	Secu	Dolj	Smadovicioara de Secu din Secu (Dolj)	9812
ROMANIA	Smardan	Ciupercenii Noi	Dolj	Smardan din Ciupercenii Noi (Dolj)	9814
ROMANIA	Sopot	Sopot	Dolj	Sopot (Dolj)	9911
ROMANIA	Soreni	Celaru	Dolj	Soreni din Celaru (Dolj)	9915
ROMANIA	Spineni	Melinesti	Dolj	Spineni din Melinesti (Dolj)	9943
ROMANIA	Stefanel	Gogosu	Dolj	Stefanel din Gogosu (Dolj)	10027
ROMANIA	Stiubei	Vela	Dolj	Stiubei din Vela (Dolj)	10081
ROMANIA	Stoicesti	Bulzesti	Dolj	Stoicesti din Bulzesti (Dolj)	10098
ROMANIA	Suharu	Vela	Dolj	Suharu din Vela (Dolj)	10205
ROMANIA	Sumandra	Secu	Dolj	Sumandra din Secu (Dolj)	10216
ROMANIA	Talpas	Farcas	Dolj	Talpas din Farcas (Dolj)	10298
ROMANIA	Tamburesti	Bratovoesti	Dolj	Tamburesti din Bratovoesti (Dolj)	10322
ROMANIA	tandara	Goiesti	Dolj	tandara din Goiesti (Dolj)	10330
ROMANIA	Tarnava	Radovan	Dolj	Tarnava din Radovan (Dolj)	10384
ROMANIA	tartal	Teslui	Dolj	tartal din Teslui (Dolj)	10404
ROMANIA	Tatomiresti	Bradesti	Dolj	Tatomiresti din Bradesti (Dolj)	10433
ROMANIA	Teascu din Deal	Argetoaia	Dolj	Teascu din Deal din Argetoaia (Dolj)	10461
ROMANIA	Teiu	Orodel	Dolj	Teiu din Orodel (Dolj)	10482
ROMANIA	Tencanau	Salcuta	Dolj	Tencanau din Salcuta (Dolj)	10511
ROMANIA	Terpezita	Terpezita	Dolj	Terpezita (Dolj)	10528
ROMANIA	Teslui	Teslui	Dolj	Teslui (Dolj)	10530
ROMANIA	tiu	Cernatesti	Dolj	tiu din Cernatesti (Dolj)	10627
ROMANIA	Toceni	Dobresti	Dolj	Toceni din Dobresti (Dolj)	10635
ROMANIA	tuglui	Tuglui	Dolj	tuglui (Dolj)	10804
ROMANIA	Tunarii Noi	Poiana Mare	Dolj	Tunarii Noi din Poiana Mare (Dolj)	10818
ROMANIA	Tunarii Vechi	Poiana Mare	Dolj	Tunarii Vechi din Poiana Mare (Dolj)	10819
ROMANIA	Ungureni	Ghercesti	Dolj	Ungureni din Ghercesti (Dolj)	10947
ROMANIA	Ungurenii Mici	Ghercesti	Dolj	Ungurenii Mici din Ghercesti (Dolj)	10956
ROMANIA	Unirea	Unirea	Dolj	Unirea (Dolj)	10965
ROMANIA	Urdinita	Brabova	Dolj	Urdinita din Brabova (Dolj)	10974
ROMANIA	Urechesti	Mischii	Dolj	Urechesti din Mischii (Dolj)	10978
ROMANIA	Urieni	Teslui	Dolj	Urieni din Teslui (Dolj)	10985
ROMANIA	Ursoaia	Argetoaia	Dolj	Ursoaia din Argetoaia (Dolj)	11011
ROMANIA	Urzica Mare	Urzicuta	Dolj	Urzica Mare din Urzicuta (Dolj)	11025
ROMANIA	Urzicuta	Urzicuta	Dolj	Urzicuta (Dolj)	11030
ROMANIA	Uscaci	Filiasi	Dolj	Uscaci din Filiasi (Dolj)	11031
ROMANIA	Valea Fantanilor	Bralostita	Dolj	Valea Fantanilor din Bralostita (Dolj)	11215
ROMANIA	Valea lui Patru	Scaesti	Dolj	Valea lui Patru din Scaesti (Dolj)	11256
ROMANIA	Valea Lungului	Breasta	Dolj	Valea Lungului din Breasta (Dolj)	11271
ROMANIA	Valea Mare	Melinesti	Dolj	Valea Mare din Melinesti (Dolj)	11298
ROMANIA	Valea Muierii de Jos	Melinesti	Dolj	Valea Muierii de Jos din Melinesti (Dolj)	11333
ROMANIA	Valea Stanciului	Valea Stanciului	Dolj	Valea Stanciului (Dolj)	11423
ROMANIA	Vartop	Vartop	Dolj	Vartop (Dolj)	11599
ROMANIA	Varvor	Varvoru De Jos	Dolj	Varvor din Varvoru De Jos (Dolj)	11604
ROMANIA	Varvoru de Jos	Varvoru De Jos	Dolj	Varvoru de Jos (Dolj)	11605
ROMANIA	Veleni	Seaca De Padure	Dolj	Veleni din Seaca De Padure (Dolj)	11635
ROMANIA	Velesti	Murgasi	Dolj	Velesti din Murgasi (Dolj)	11636
ROMANIA	Verbicioara	Verbita	Dolj	Verbicioara din Verbita (Dolj)	11642
ROMANIA	Viisoara	Dragotesti	Dolj	Viisoara din Dragotesti (Dolj)	11712
ROMANIA	Viisoara Mosneni	Teslui	Dolj	Viisoara Mosneni din Teslui (Dolj)	11729
ROMANIA	Vladimir	Goiesti	Dolj	Vladimir din Goiesti (Dolj)	11807
ROMANIA	Voita	Brabova	Dolj	Voita din Brabova (Dolj)	11851
ROMANIA	Zanoaga	Leu	Dolj	Zanoaga din Leu (Dolj)	11946
ROMANIA	Zaval	Gighera	Dolj	Zaval din Gighera (Dolj)	11968
ROMANIA	Zlatari	Goiesti	Dolj	Zlatari din Goiesti (Dolj)	12011
ROMANIA	Zvorsca	Amarastii De Sus	Dolj	Zvorsca din Amarastii De Sus (Dolj)	12037
ROMANIA	Aldesti	Beresti - Meria	Galati	Aldesti din Beresti - Meria (Galati)	101
ROMANIA	Balasesti	Balasesti	Galati	Balasesti (Galati)	486
ROMANIA	Baleni	Baleni	Galati	Baleni (Galati)	505
ROMANIA	Balintesti	Beresti - Meria	Galati	Balintesti din Beresti - Meria (Galati)	516
ROMANIA	Baltareti	Cosmesti	Galati	Baltareti din Cosmesti (Galati)	550
ROMANIA	Baneasa	Baneasa	Galati	Baneasa (Galati)	587
ROMANIA	Barcea	Barcea	Galati	Barcea (Galati)	659
ROMANIA	Beresti	Beresti	Galati	Beresti (Galati)	869
ROMANIA	Beresti-Meria	Beresti - Meria	Galati	Beresti-Meria din Beresti - Meria (Galati)	874
ROMANIA	Blanzi	Corod	Galati	Blanzi din Corod (Galati)	1010
ROMANIA	Brahasesti	Brahasesti	Galati	Brahasesti (Galati)	1343
ROMANIA	Branesti	Vladesti	Galati	Branesti din Vladesti (Galati)	1361
ROMANIA	Branistea	Nicoresti	Galati	Branistea din Nicoresti (Galati)	1367
ROMANIA	Branistea	Branistea	Galati	Branistea (Galati)	1369
ROMANIA	Bratulesti	Corod	Galati	Bratulesti din Corod (Galati)	1407
ROMANIA	Bucesti	Ivesti	Galati	Bucesti din Ivesti (Galati)	1492
ROMANIA	Bursucani	Balabanesti	Galati	Bursucani din Balabanesti (Galati)	1672
ROMANIA	Carapcesti	Corod	Galati	Carapcesti din Corod (Galati)	1957
ROMANIA	Cauiesti	Draguseni	Galati	Cauiesti din Draguseni (Galati)	2094
ROMANIA	Cavadinesti	Cavadinesti	Galati	Cavadinesti (Galati)	2095
ROMANIA	Chiraftei	Mastacani	Galati	Chiraftei din Mastacani (Galati)	2322
ROMANIA	Ciorasti	Priponesti	Galati	Ciorasti din Priponesti (Galati)	2466
ROMANIA	Cismele	Smardan	Galati	Cismele din Smardan (Galati)	2502
ROMANIA	Ciuresti	Balasesti	Galati	Ciuresti din Balasesti (Galati)	2561
ROMANIA	Ciurestii Noi	Balasesti	Galati	Ciurestii Noi din Balasesti (Galati)	2564
ROMANIA	Comanesti	Cavadinesti	Galati	Comanesti din Cavadinesti (Galati)	2734
ROMANIA	Condrea	Umbraresti	Galati	Condrea din Umbraresti (Galati)	2762
ROMANIA	Corcioveni	Brahasesti	Galati	Corcioveni din Brahasesti (Galati)	2824
ROMANIA	Corni	Corni	Galati	Corni (Galati)	2871
ROMANIA	Corod	Corod	Galati	Corod (Galati)	2890
ROMANIA	Cositeni	Brahasesti	Galati	Cositeni din Brahasesti (Galati)	2933
ROMANIA	Cosmesti	Cosmesti	Galati	Cosmesti (Galati)	2940
ROMANIA	Cosmestii-Vale	Cosmesti	Galati	Cosmestii-Vale din Cosmesti (Galati)	2942
ROMANIA	Costache Negri	Costache Negri	Galati	Costache Negri (Galati)	2952
ROMANIA	Costi	Vanatori	Galati	Costi din Vanatori (Galati)	2976
ROMANIA	Craiesti	Varlezi	Galati	Craiesti din Varlezi (Galati)	3076
ROMANIA	Crangeni	Namoloasa	Galati	Crangeni din Namoloasa (Galati)	3090
ROMANIA	Cruceanu	Balabanesti	Galati	Cruceanu din Balabanesti (Galati)	3195
ROMANIA	Cuca	Cuca	Galati	Cuca (Galati)	3206
ROMANIA	Cudalbi	Cudalbi	Galati	Cudalbi (Galati)	3234
ROMANIA	Cuza Voda	Slobozia Conachi	Galati	Cuza Voda din Slobozia Conachi (Galati)	3319
ROMANIA	Dobrinesti	Nicoresti	Galati	Dobrinesti din Nicoresti (Galati)	3636
ROMANIA	Draganesti	Draganesti	Galati	Draganesti (Galati)	3744
ROMANIA	Draguseni	Draguseni	Galati	Draguseni (Galati)	3797
ROMANIA	Fantanele	Scanteiesti	Galati	Fantanele din Scanteiesti (Galati)	4046
ROMANIA	Fantani	Nicoresti	Galati	Fantani din Nicoresti (Galati)	4052
ROMANIA	Fartanesti	Fartanesti	Galati	Fartanesti (Galati)	4072
ROMANIA	Foltesti	Foltesti	Galati	Foltesti (Galati)	4235
ROMANIA	Frumusita	Frumusita	Galati	Frumusita (Galati)	4292
ROMANIA	Frunzeasca	Munteni	Galati	Frunzeasca din Munteni (Galati)	4295
ROMANIA	Fundeanu	Draguseni	Galati	Fundeanu din Draguseni (Galati)	4316
ROMANIA	Fundeni	Fundeni	Galati	Fundeni (Galati)	4319
ROMANIA	Fundenii Noi	Fundeni	Galati	Fundenii Noi din Fundeni (Galati)	4323
ROMANIA	Furcenii Noi	Cosmesti	Galati	Furcenii Noi din Cosmesti (Galati)	4333
ROMANIA	Furcenii Vechi	Cosmesti	Galati	Furcenii Vechi din Cosmesti (Galati)	4334
ROMANIA	Galati	Galati	Galati	Galati (Galati)	4368
ROMANIA	Ganesti	Cavadinesti	Galati	Ganesti din Cavadinesti (Galati)	4415
ROMANIA	Gara Berheci	Gohor	Galati	Gara Berheci din Gohor (Galati)	4424
ROMANIA	Gara Ghidigeni	Ghidigeni	Galati	Gara Ghidigeni din Ghidigeni (Galati)	4428
ROMANIA	Garbovat	Ghidigeni	Galati	Garbovat din Ghidigeni (Galati)	4444
ROMANIA	Gefu	Ghidigeni	Galati	Gefu din Ghidigeni (Galati)	4500
ROMANIA	Ghidigeni	Ghidigeni	Galati	Ghidigeni (Galati)	4569
ROMANIA	Ghinghesti	Draguseni	Galati	Ghinghesti din Draguseni (Galati)	4594
ROMANIA	Grivita	Grivita	Galati	Grivita (Galati)	4838
ROMANIA	Grozavesti	Nicoresti	Galati	Grozavesti din Nicoresti (Galati)	4870
ROMANIA	Gura Garbovatului	Ghidigeni	Galati	Gura Garbovatului din Ghidigeni (Galati)	4917
ROMANIA	Hantesti	Buciumeni	Galati	Hantesti din Buciumeni (Galati)	5026
ROMANIA	Hanu Conachi	Fundeni	Galati	Hanu Conachi din Fundeni (Galati)	5028
